"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"kaupO","hibcla",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,12,-2,-2,12,-2,-2,8,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",12,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,12,-2,12,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"hawwR","himmex",-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscO","hypcum",1,12,-2,-2,-2,12,12,-2,12,12,-2,12,12,12,12,12,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,12,-2 
"smalR","isomed",-2,12,-2,-2,-2,12,12,-2,12,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2 
"beacO","jacrec",12,-2,-2,-2,-2,12,12,-2,12,-2,-2,12,-2,12,-2,12,-2,-2,-2,-2,12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2 
"oahpO","labcyr",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"pinkO","lamabr",-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,8,-2,-2,-2,8,-2,-2,8,-2,-2,8,-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2 
"caroO","lasdec",1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
