"humpR","gilcyp","humpR","gilcyp","Moerke14","Gila","cypha","-2","-2","humpback",1,2,1967,3,11,0,-2,-2,-2,"2C",0,0,0,5,4,4,3,-1,3,3,21,1,-1,5,0,1,"USFWS6",-1,-1,-1,1,0,0 
"bonyR","gilele","bonyR","gilele","Crampton","Gila","elegans","-2","-1","bonytail",1,2,1980,4,23,0,-2,-2,-2,"5c",0,0,0,5,4,5,3,1,2,3,21,1,-2,5,0,1,"USFWS6",-1,1,3,1,1,0 
"chihO","gilnig","chihO","gilnig","kelleher","gila","nigresce","-2","girard","chihuahu",1,1,1983,10,19,0,-2,-2,-2,"-3",0,0,0,5,4,-1,2,-1,1,4,21,1,-2,4,1,0,"USFWS2",1,1,-3,1,1,1 
"fishR","gilpur","fishR","gilpur","langridg","Gila","purpurea","-2","-1","Yaqui ch",1,2,1984,8,31,1,1984,8,31,"-1",0,0,0,5,4,-1,3,-1,3,-1,2,1,-1,4,1,0,"USFWS2",3,3,-3,1,1,0 
"whooR","gruame","whooR","gruame","Bradley3","Grus","american","-2","-2","Whooping",1,1,1967,3,11,1,1978,5,15,"-3",0,0,0,2,3,8,6,2,5,3,19,1,3,24,1,1,"USFWS2",3,3,2,1,1,1 
"missR","grucan","missR","grucan","Trexel39","Grus","canadens","pulla","-1","Mississi",2,2,1973,6,4,1,1976,3,25,"-1",0,0,0,2,4,3,-1,-1,3,4,19,1,1,9,0,0,"USFWS4",3,3,-1,1,1,1 
"cacoR","gymcal","cacoR","gymcal","Easter62","Gymnogyp","californ","-2","-2","Californ",1,2,1967,3,11,1,1976,9,24,"4C",0,0,0,2,3,5,4,2,4,2,27,1,-1,4,0,0,"USFWS1",4,4,3,1,1,0 
"gnomO","gymlin","gnomO","gymlin","lyons204","Gymnoder","lineare","-2","(Evans)Y","Rock Gno",1,2,1995,1,18,0,-2,-2,-2,"-2",0,0,0,10,1,0,-1,-1,-3,-1,4,1,1,9,0,1,"USFWS4",3,3,-3,1,1,1 
"todsO","hedtod","todsO","hedtod","Wright17","Hedeoma","todsenii","-2","Todsen","Todsen's",1,2,1981,1,19,1,1981,1,19,"8",0,0,0,14,1,-2,-1,-1,2,3,7,1,-2,5,0,0,"USFWS2",4,1,1,1,0,1 
"oahpO","hesarb","oahpO","hesarb","Brigham1","Hesperom","arboresc","-2","-2","-2",1,2,1994,4,27,0,-2,-2,-2,"-3",0,0,0,14,1,2,4,-1,4,-1,2,1,3,2,0,0,"USFWS1",3,3,-3,1,0,1 
"moloO","hibarn","moloO","hibarn","Allen20","Hibiscus","arnottia","immacula","(M. Roe)","Kokio Ke",2,2,1992,11,9,0,-2,-2,-2,"3",0,0,0,14,1,0,2,-1,2,2,2,1,-1,2,0,0,"USFWS1",1,-1,-1,1,1,0 
"kaupO","hibcla","kaupO","hibcla","Schwartz","Hibiscus","clayi","-2","Degener","Clay's h",1,2,1994,2,25,0,-2,-2,-2,"2",0,0,0,14,1,0,3,3,1,4,2,1,3,2,0,0,"USFWS1",1,1,4,1,1,-2 
