"PLAN","SPECIES","347RR","348RR","349RR","350RR","351RR","352RR","353RR","354RR","355RR","356RR","357RR","358RR","359RR","360RR","361RR","362RR","363RR","364RR","365RR","366RR","367RR","368RR","369RR",370RR"
"guamO","ptemar",3,3,2,2,2,-2,1,1,-2,1,3,-2,-2,-2,1,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"coloR","ptyluc",2,2,2,2,-2,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,3,-2,3,-2,-2 
"flopR","pumcon",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",2,2,-2,-2,-2,-2,2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"tombO","quasta",3,2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2 
"selkR","rantar",-2,-2,3,-2,-2,-2,2,2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,2,2,2,2,-2 
"kendO","rhiosc",-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"chapO","rhocha",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,2,-2,-2,-2,-2,2,-2,-2,-1,3,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"pallO","scaalb",2,2,2,2,2,-2,-2,-2,2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maplO","schhal",2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2 
"oahpO","schkaa",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,3,-2,-2,3,-2,-2 
"oahpO","schkea",-2,2,2,2,2,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-1,-2,-2,-1,-1,-2 
"kaupO","schspe",3,3,3,3,3,3,3,3,3,3,-2,3,-2,-2,3,3,3,3,3,3,3,3,3,-2 
"delmR","scinig",3,3,3,-2,-2,-2,3,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2 
"enruO","soldry",2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"alabR","spepou",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1 
"caleO","steant",-2,2,2,2,2,-2,2,2,2,-2,1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,1,-2,1 
"kaupO","stecam",3,3,3,3,3,3,3,3,3,3,-2,3,-2,-2,3,3,3,3,3,3,3,3,3,-2 
"mexiO","strocc",-2,2,2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"loweO","sylpal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",3,2,3,-2,-2,1,-2,-2,2,-2,-2,1,3,-2,-2,-2,-2,1,1,-2,-2,1,1,1 
"karsO","texred",3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,3,-2,-2,-2,3,3,3 
"coolO","thacoo",3,3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2 
"pedaO","theste",-2,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,2,2,-2 
"soccO","thethe",-2,2,2,-2,-2,1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"prfeO","theyau",-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2 
