"PLAN","SPECIES","89E","90E","91E","92E","93E","94E","95E","96E","97E","98E","99E","100E","101E","102E","103E","104E","105E","106E","107E","108E","109E","110E","111E","112E","113E","114E","115E","116E","117E","118E","119E","120E","121E","122E","123E","124E","125E","126E"
"whooR","gruame",-2,-2,2,2,2,2,2,1,-2,2,-2,-2,-2,-2,-2,-2,0,-2,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2 
"missR","grucan",-2,0,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,0,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,5,5,-2,-2,-2,5,5,-2,2,5,5,5,-2,-2,5,-2,-2,-2,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,5,5,-2,-2,-2,-2,-2 
"gnomO","gymlin",0,0,-2,-2,-2,2,-2,-2,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"todsO","hedtod",-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,-1,-1 
"oahpO","hesarb",4,-2,-2,-2,-2,-2,-2,2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"moloO","hibarn",0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","hibcla",-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2 
"hawwR","himmex",-2,2,-2,-2,-2,0,0,0,-2,-2,-2,2,-2,5,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,0,-2,-2,-2 
"flscO","hypcum",3,3,-2,-2,-2,3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2 
"smalR","isomed",3,3,-2,-2,-2,1,5,0,1,-2,-2,5,5,5,-2,-2,-2,-2,-2,3,3,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2 
"beacO","jacrec",-2,5,-2,-2,-2,5,-2,4,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2 
"oahpO","labcyr",3,3,-2,-2,-2,3,3,3,3,-2,-2,3,3,-2,-2,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"pinkO","lamabr",5,5,-2,-2,-2,5,-2,5,5,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,0,-2,2,-2,-2,-2 
"snakO","lanxsp",0,3,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,3,0,-2,-2 
"flscR","liaohl",2,-2,-2,-2,-2,3,2,2,3,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"kaupO","lipfau",-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",0,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"roleO","lysasp",3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2 
"apalO","macalb",-2,-2,-2,-2,-2,-1,-1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",3,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"kaupO","melpal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",5,3,-2,-2,-2,3,3,3,3,3,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"armaO","miccal",4,4,4,4,-2,4,4,-2,4,4,-2,0,0,0,0,-2,-2,-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,1,-2 
"hualO","micmex",1,0,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",1,1,-2,-2,-2,-2,0,1,1,2,-2,2,-2,1,-2,-2,4,-2,-1,-2,3,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,2,1,-2,-2,-2 
"kaufO","myapal",0,0,-2,-2,-2,0,0,0,0,-2,-2,3,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,5,5,-2,-2 
"woodO","mycame",-2,-2,-2,0,-2,-2,-2,5,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,5,-2,-2,-2,2,-2 
"indiR","myosod",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2 
"oahpO","nothum",4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
